EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : sea level pressure in 0.1 hPa
23-27 Q_PP : Quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121041)
See file sources.txt for more info.



 SOUID,    DATE,   PP, Q_PP
121041,19580829,10114,    0
121041,19580830,10129,    0
121041,19580831,10118,    0
121041,19580901,10139,    0
121041,19580902,10150,    0
121041,19580903,10172,    0
121041,19580904,10202,    0
121041,19580905,10219,    0
121041,19580906,10188,    0
121041,19580907,10202,    0
121041,19580908,10203,    0
121041,19580909,10198,    0
121041,19580910,10211,    0
121041,19580911,10238,    0
121041,19580912,10256,    0
121041,19580913,10255,    0
121041,19580914,10219,    0
121041,19580915,10170,    0
121041,19580916,10191,    0
121041,19580917,10213,    0
121041,19580918,10209,    0
121041,19580919,10194,    0
121041,19580920,10147,    0
121041,19580921,10126,    0
121041,19580922,10126,    0
121041,19580923,10174,    0
121041,19580924,10128,    0
121041,19580925,10098,    0
121041,19580926,10158,    0
121041,19580927,10240,    0
121041,19580928,10197,    0
121041,19580929,10095,    0
121041,19580930,10026,    0
121041,19581001, 9998,    0
121041,19581002,10045,    0
121041,19581003,10134,    0
121041,19581004,10086,    0
121041,19581005,10132,    0
121041,19581006,10166,    0
121041,19581007,10236,    0
121041,19581008,10247,    0
121041,19581009,10237,    0
121041,19581010,10179,    0
121041,19581011,10181,    0
121041,19581012,10169,    0
121041,19581013,10183,    0
121041,19581014,10120,    0
121041,19581015,10153,    0
121041,19581016,10100,    0
121041,19581017,10125,    0
121041,19581018,10231,    0
121041,19581019,10268,    0
121041,19581020,10222,    0
121041,19581021,10235,    0
121041,19581022,10309,    0
121041,19581023,10362,    0
121041,19581024,10387,    0
121041,19581025,10352,    0
121041,19581026,10354,    0
121041,19581027,10320,    0
121041,19581028,10279,    0
121041,19581029,10245,    0
121041,19581030,10188,    0
121041,19581031,10146,    0
121041,19581101,10228,    0
121041,19581102,10200,    0
121041,19581103,10087,    0
121041,19581104,10144,    0
121041,19581105,10157,    0
121041,19581106,10198,    0
121041,19581107,10193,    0
121041,19581108,10124,    0
121041,19581109,10158,    0
121041,19581110,10134,    0
121041,19581111,10132,    0
121041,19581112,10151,    0
121041,19581113,10093,    0
121041,19581114,10142,    0
121041,19581115,10240,    0
121041,19581116,10291,    0
121041,19581117,10309,    0
121041,19581118,10292,    0
121041,19581119,10312,    0
121041,19581120,10372,    0
121041,19581121,10376,    0
121041,19581122,10332,    0
121041,19581123,10290,    0
121041,19581124,10271,    0
121041,19581125,10248,    0
121041,19581126,10228,    0
121041,19581127,10259,    0
121041,19581128,10268,    0
121041,19581129,10244,    0
121041,19581130,10207,    0
121041,19581201,10259,    0
121041,19581202,10297,    0
121041,19581203,10276,    0
121041,19581204,10269,    0
121041,19581205,10196,    0
121041,19581206,10165,    0
121041,19581207,10174,    0
121041,19581208,10158,    0
121041,19581209,10071,    0
121041,19581210,10021,    0
121041,19581211, 9914,    0
121041,19581212, 9942,    0
121041,19581213, 9828,    0
121041,19581214, 9831,    0
121041,19581215, 9840,    0
121041,19581216, 9811,    0
121041,19581217, 9875,    0
121041,19581218, 9989,    0
121041,19581219, 9963,    0
121041,19581220, 9950,    0
121041,19581221, 9991,    0
121041,19581222,10073,    0
121041,19581223,10116,    0
121041,19581224,10148,    0
121041,19581225,10171,    0
121041,19581226,10212,    0
