EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FX   : wind gust in 0.1 m/s
23-27 Q_FX : Quality code for FX (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121049)
See file sources.txt for more info.



 SOUID,    DATE,   FX, Q_FX
121049,19580927,   77,    0
121049,19580928,  121,    0
121049,19580929,  117,    0
121049,19580930,  161,    0
121049,19581001,   72,    0
121049,19581002,  123,    0
121049,19581003,  112,    0
121049,19581004,  136,    0
121049,19581005,  110,    0
121049,19581006,  110,    0
121049,19581007,   96,    0
121049,19581008,  124,    0
121049,19581009,   84,    0
121049,19581010,   90,    0
121049,19581011,  121,    0
121049,19581012,  102,    0
121049,19581013,  110,    0
121049,19581014,  125,    0
121049,19581015,  184,    0
121049,19581016,  286,    0
121049,19581017,  189,    0
121049,19581018,  111,    0
121049,19581019,  103,    0
121049,19581020,  170,    0
121049,19581021,  151,    0
121049,19581022,   37,    0
121049,19581023,   31,    0
121049,19581024,   36,    0
121049,19581025,   40,    0
121049,19581026,   30,    0
121049,19581027,   41,    0
121049,19581028,   36,    0
121049,19581029,  115,    0
121049,19581030,   80,    0
121049,19581031,  160,    0
121049,19581101,   99,    0
121049,19581102,  133,    0
121049,19581103,   94,    0
121049,19581104,   80,    0
121049,19581105,   70,    0
121049,19581106,   81,    0
121049,19581107,   76,    0
121049,19581108,  120,    0
121049,19581109,   75,    0
121049,19581110,   36,    0
121049,19581111,   41,    0
121049,19581112,   42,    0
121049,19581113,   79,    0
121049,19581114,   50,    0
121049,19581115,   47,    0
121049,19581116,   47,    0
121049,19581117,   88,    0
121049,19581118,  107,    0
121049,19581119,   67,    0
121049,19581120,   36,    0
121049,19581121,   62,    0
121049,19581122,   83,    0
121049,19581123,   82,    0
121049,19581124,   41,    0
121049,19581125,   42,    0
121049,19581126,   50,    0
121049,19581127,   24,    0
121049,19581128,   77,    0
121049,19581129,   72,    0
121049,19581130,   22,    0
121049,19581201,   36,    0
121049,19581202,   41,    0
121049,19581203,   42,    0
121049,19581204,   31,    0
121049,19581205,   57,    0
121049,19581206,   61,    0
121049,19581207,   35,    0
121049,19581208,   92,    0
121049,19581209,   69,    0
121049,19581210,  134,    0
121049,19581211,   75,    0
121049,19581212,  108,    0
121049,19581213,  138,    0
121049,19581214,  103,    0
121049,19581215,  113,    0
121049,19581216,  108,    0
121049,19581217,   72,    0
121049,19581218,   78,    0
121049,19581219,  134,    0
121049,19581220,  118,    0
121049,19581221,   68,    0
121049,19581222,   67,    0
