EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 14-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121042)
See file sources.txt for more info.



 SOUID,    DATE,   RR, Q_RR
121042,19320128,    0,    0
121042,19320129,    0,    0
121042,19320130,    9,    0
121042,19320131,    0,    0
121042,19320201,    9,    0
121042,19320202,   10,    0
121042,19320203,    7,    0
121042,19320204,    8,    0
121042,19320205,    0,    0
121042,19320206,    0,    0
121042,19320207,    0,    0
121042,19320208,   15,    0
121042,19320209,    8,    0
121042,19320210,    0,    0
121042,19320211,    0,    0
121042,19320212,    0,    0
121042,19320213,    0,    0
121042,19320214,    0,    0
121042,19320215,    9,    0
121042,19320216,    0,    0
121042,19320217,    0,    0
121042,19320218,    0,    0
121042,19320219,    7,    0
121042,19320220,    0,    0
121042,19320221,   12,    0
121042,19320222,   13,    0
121042,19320223,   70,    0
121042,19320224,   13,    0
121042,19320225,    0,    0
121042,19320226,    0,    0
121042,19320227,    0,    0
121042,19320228,    0,    0
121042,19320229,    0,    0
121042,19320301,    0,    0
121042,19320302,    0,    0
121042,19320303,    0,    0
121042,19320304,    0,    0
121042,19320305,    0,    0
121042,19320306,    0,    0
121042,19320307,  155,    0
121042,19320308,    5,    0
121042,19320309,    0,    0
121042,19320310,    0,    0
121042,19320311,    0,    0
121042,19320312,    0,    0
121042,19320313,    0,    0
121042,19320314,    0,    0
121042,19320315,    0,    0
121042,19320316,    0,    0
121042,19320317,    0,    0
121042,19320318,    0,    0
121042,19320319,    0,    0
121042,19320320,    0,    0
121042,19320321,    0,    0
121042,19320322,    0,    0
121042,19320323,    0,    0
121042,19320324,    0,    0
121042,19320325,    0,    0
121042,19320326,    0,    0
121042,19320327,   45,    0
121042,19320328,    0,    0
121042,19320329,   26,    0
121042,19320330,   25,    0
121042,19320331,    7,    0
121042,19320401,  107,    0
121042,19320402,   15,    0
121042,19320403,    0,    0
121042,19320404,   29,    0
121042,19320405,   19,    0
121042,19320406,   15,    0
121042,19320407,   18,    0
121042,19320408,   29,    0
121042,19320409,   13,    0
121042,19320410,    6,    0
121042,19320411,   90,    0
121042,19320412,   70,    0
121042,19320413,   15,    0
121042,19320414,    0,    0
121042,19320415,    0,    0
121042,19320416,   10,    0
121042,19320417,    7,    0
121042,19320418,    0,    0
121042,19320419,    0,    0
121042,19320420,    0,    0
121042,19320421,    0,    0
121042,19320422,   10,    0
121042,19320423,    0,    0
121042,19320424,    0,    0
121042,19320425,    0,    0
121042,19320426,    0,    0
121042,19320427,   27,    0
121042,19320428,   34,    0
121042,19320429,   25,    0
121042,19320430,    3,    0
121042,19320501,   95,    0
121042,19320502,   15,    0
121042,19320503,    5,    0
121042,19320504,   20,    0
121042,19320505,   34,    0
121042,19320506,    0,    0
121042,19320507,    4,    0
121042,19320508,    5,    0
121042,19320509,   53,    0
121042,19320510,  123,    0
121042,19320511,   13,    0
121042,19320512,    8,    0
121042,19320513,    0,    0
121042,19320514,    1,    0
121042,19320515,    0,    0
121042,19320516,  120,    0
121042,19320517,    3,    0
121042,19320518,    0,    0
121042,19320519,    0,    0
121042,19320520,    0,    0
121042,19320521,   12,    0
121042,19320522,    7,    0
121042,19320523,   25,    0
121042,19320524,  103,    0
121042,19320525,    3,    0
121042,19320526,    0,    0
121042,19320527,    2,    0
121042,19320528,    2,    0
121042,19320529,    0,    0
121042,19320530,   36,    0
121042,19320531,   23,    0
121042,19320601,    1,    0
121042,19320602,    0,    0
121042,19320603,  167,    0
121042,19320604,   13,    0
121042,19320605,    4,    0
121042,19320606,    0,    0
121042,19320607,    0,    0
121042,19320608,    5,    0
121042,19320609,    0,    0
121042,19320610,    0,    0
121042,19320611,    0,    0
121042,19320612,    0,    0
121042,19320613,    0,    0
121042,19320614,    0,    0
121042,19320615,    0,    0
121042,19320616,    0,    0
121042,19320617,    0,    0
121042,19320618,    0,    0
121042,19320619,    0,    0
121042,19320620,    0,    0
121042,19320621,    0,    0
121042,19320622,    0,    0
121042,19320623,    0,    0
121042,19320624,    0,    0
121042,19320625,   20,    0
121042,19320626,    0,    0
121042,19320627,    0,    0
121042,19320628,   16,    0
121042,19320629,    0,    0
121042,19320630,    0,    0
121042,19320701,   35,    0
121042,19320702,   20,    0
121042,19320703,    0,    0
121042,19320704,    0,    0
121042,19320705,    8,    0
121042,19320706,   57,    0
121042,19320707,  107,    0
121042,19320708,    0,    0
121042,19320709,    0,    0
121042,19320710,    0,    0
121042,19320711,    0,    0
121042,19320712,    0,    0
121042,19320713,   45,    0
121042,19320714,   60,    0
121042,19320715,    0,    0
121042,19320716,   11,    0
121042,19320717,    0,    0
121042,19320718,    0,    0
121042,19320719,    0,    0
121042,19320720,    0,    0
121042,19320721,  105,    0
121042,19320722,   19,    0
121042,19320723,   17,    0
121042,19320724,    0,    0
121042,19320725,    4,    0
121042,19320726,  104,    0
121042,19320727,  150,    0
121042,19320728,   75,    0
121042,19320729,    0,    0
121042,19320730,    0,    0
121042,19320731,   16,    0
121042,19320801,  160,    0
121042,19320802,  172,    0
121042,19320803,  161,    0
121042,19320804,  136,    0
121042,19320805,   13,    0
121042,19320806,    0,    0
121042,19320807,    0,    0
121042,19320808,    0,    0
121042,19320809,    0,    0
121042,19320810,    0,    0
121042,19320811,    0,    0
121042,19320812,    0,    0
121042,19320813,   11,    0
121042,19320814,   65,    0
121042,19320815,    0,    0
121042,19320816,    0,    0
121042,19320817,    0,    0
121042,19320818,    0,    0
121042,19320819,    0,    0
121042,19320820,    0,    0
121042,19320821,    0,    0
121042,19320822,    4,    0
121042,19320823,    0,    0
121042,19320824,    0,    0
121042,19320825,    0,    0
121042,19320826,    0,    0
121042,19320827,    0,    0
121042,19320828,    0,    0
121042,19320829,    0,    0
121042,19320830,   55,    0
121042,19320831,    0,    0
121042,19320901,    5,    0
121042,19320902,   59,    0
121042,19320903,  207,    0
121042,19320904,    0,    0
121042,19320905,    0,    0
121042,19320906,   51,    0
121042,19320907,    5,    0
121042,19320908,    0,    0
121042,19320909,   30,    0
121042,19320910,   56,    0
121042,19320911,   17,    0
121042,19320912,    0,    0
121042,19320913,  140,    0
121042,19320914,   13,    0
121042,19320915,    0,    0
121042,19320916,    0,    0
121042,19320917,  292,    0
121042,19320918,  150,    0
121042,19320919,   60,    0
121042,19320920,    5,    0
121042,19320921,    0,    0
121042,19320922,   20,    0
121042,19320923,   82,    0
121042,19320924,   50,    0
121042,19320925,    0,    0
121042,19320926,   95,    0
121042,19320927,    0,    0
121042,19320928,    0,    0
121042,19320929,    0,    0
121042,19320930,   19,    0
121042,19321001,   41,    0
121042,19321002,    0,    0
121042,19321003,  207,    0
121042,19321004,    3,    0
121042,19321005,    0,    0
121042,19321006,    0,    0
121042,19321007,    0,    0
121042,19321008,   12,    0
121042,19321009,    0,    0
121042,19321010,    6,    0
121042,19321011,   59,    0
121042,19321012,    2,    0
121042,19321013,   90,    0
121042,19321014,   34,    0
121042,19321015,   85,    0
121042,19321016,   48,    0
121042,19321017,   40,    0
121042,19321018,    0,    0
121042,19321019,   18,    0
121042,19321020,  141,    0
121042,19321021,    0,    0
121042,19321022,    0,    0
121042,19321023,   64,    0
121042,19321024,   16,    0
121042,19321025,   63,    0
121042,19321026,   65,    0
121042,19321027,   72,    0
121042,19321028,  125,    0
121042,19321029,   20,    0
121042,19321030,   53,    0
121042,19321031,   50,    0
121042,19321101,    0,    0
121042,19321102,   38,    0
121042,19321103,    0,    0
121042,19321104,    0,    0
121042,19321105,   18,    0
121042,19321106,    0,    0
121042,19321107,    0,    0
121042,19321108,    0,    0
121042,19321109,    0,    0
121042,19321110,    0,    0
121042,19321111,    0,    0
121042,19321112,    0,    0
121042,19321113,    0,    0
121042,19321114,    0,    0
121042,19321115,    0,    0
121042,19321116,    0,    0
121042,19321117,    0,    0
121042,19321118,    0,    0
121042,19321119,   25,    0
121042,19321120,   75,    0
121042,19321121,   18,    0
121042,19321122,   50,    0
121042,19321123,   15,    0
121042,19321124,   20,    0
121042,19321125,   32,    0
121042,19321126,   11,    0
121042,19321127,   10,    0
121042,19321128,    7,    0
121042,19321129,    0,    0
121042,19321130,    0,    0
121042,19321201,    0,    0
121042,19321202,   12,    0
121042,19321203,    8,    0
121042,19321204,    0,    0
121042,19321205,    0,    0
121042,19321206,   31,    0
121042,19321207,    0,    0
121042,19321208,    0,    0
121042,19321209,    0,    0
121042,19321210,    0,    0
121042,19321211,    0,    0
121042,19321212,    0,    0
121042,19321213,    0,    0
121042,19321214,    0,    0
121042,19321215,    0,    0
121042,19321216,    0,    0
121042,19321217,    0,    0
121042,19321218,    0,    0
121042,19321219,    0,    0
121042,19321220,    0,    0
121042,19321221,    0,    0
121042,19321222,    0,    0
121042,19321223,    5,    0
121042,19321224,    2,    0
121042,19321225,   24,    0
121042,19321226,    0,    0
121042,19321227,    8,    0
121042,19321228,    0,    0
121042,19321229,    0,    0
121042,19321230,   18,    0
121042,19321231,    0,    0
121042,19330101,    0,    0
121042,19330102,    3,    0
121042,19330103,   49,    0
121042,19330104,   64,    0
121042,19330105,    0,    0
121042,19330106,    0,    0
121042,19330107,    0,    0
121042,19330108,  154,    0
121042,19330109,   35,    0
121042,19330110,    0,    0
121042,19330111,    9,    0
121042,19330112,    0,    0
121042,19330113,    0,    0
121042,19330114,    0,    0
121042,19330115,    0,    0
121042,19330116,    0,    0
121042,19330117,    0,    0
121042,19330118,    0,    0
121042,19330119,    0,    0
121042,19330120,    0,    0
121042,19330121,    0,    0
121042,19330122,    0,    0
121042,19330123,    0,    0
121042,19330124,    0,    0
121042,19330125,    0,    0
121042,19330126,    0,    0
121042,19330127,    0,    0
121042,19330128,    0,    0
121042,19330129,    0,    0
121042,19330130,   14,    0
121042,19330131,    0,    0
121042,19330201,   57,    0
121042,19330202,   18,    0
121042,19330203,   80,    0
121042,19330204,   18,    0
121042,19330205,    8,    0
121042,19330206,   10,    0
121042,19330207,   20,    0
121042,19330208,   26,    0
121042,19330209,    2,    0
121042,19330210,    0,    0
121042,19330211,    0,    0
121042,19330212,    0,    0
121042,19330213,    6,    0
121042,19330214,    4,    0
121042,19330215,   10,    0
121042,19330216,   20,    0
121042,19330217,   16,    0
121042,19330218,    0,    0
121042,19330219,    0,    0
121042,19330220,    0,    0
121042,19330221,   57,    0
121042,19330222,    7,    0
121042,19330223,    2,    0
121042,19330224,    0,    0
121042,19330225,    0,    0
121042,19330226,    0,    0
121042,19330227,    0,    0
121042,19330228,    0,    0
121042,19330301,    1,    0
121042,19330302,   62,    0
121042,19330303,   15,    0
121042,19330304,    0,    0
121042,19330305,    0,    0
121042,19330306,    2,    0
121042,19330307,    0,    0
121042,19330308,    0,    0
121042,19330309,    0,    0
121042,19330310,    0,    0
121042,19330311,    0,    0
121042,19330312,    0,    0
121042,19330313,    0,    0
121042,19330314,    0,    0
121042,19330315,    0,    0
121042,19330316,    0,    0
121042,19330317,    0,    0
121042,19330318,    0,    0
121042,19330319,   12,    0
121042,19330320,    1,    0
121042,19330321,    8,    0
121042,19330322,    0,    0
121042,19330323,    0,    0
121042,19330324,    0,    0
121042,19330325,    0,    0
121042,19330326,    0,    0
121042,19330327,    0,    0
121042,19330328,    0,    0
121042,19330329,    0,    0
121042,19330330,   19,    0
121042,19330331,    0,    0
121042,19330401,   26,    0
121042,19330402,    0,    0
121042,19330403,    9,    0
121042,19330404,   10,    0
121042,19330405,    0,    0
121042,19330406,    0,    0
121042,19330407,   13,    0
121042,19330408,   16,    0
121042,19330409,    0,    0
121042,19330410,    3,    0
121042,19330411,    0,    0
121042,19330412,    0,    0
121042,19330413,    0,    0
121042,19330414,    0,    0
121042,19330415,    0,    0
121042,19330416,    0,    0
121042,19330417,    0,    0
121042,19330418,    0,    0
121042,19330419,    0,    0
121042,19330420,    0,    0
121042,19330421,   45,    0
121042,19330422,    0,    0
121042,19330423,    0,    0
121042,19330424,    0,    0
121042,19330425,    0,    0
121042,19330426,   16,    0
121042,19330427,   20,    0
121042,19330428,   42,    0
121042,19330429,   18,    0
121042,19330430,    0,    0
121042,19330501,    0,    0
121042,19330502,    0,    0
121042,19330503,   66,    0
121042,19330504,    0,    0
121042,19330505,    0,    0
121042,19330506,   38,    0
121042,19330507,    0,    0
121042,19330508,   36,    0
121042,19330509,   87,    0
121042,19330510,  100,    0
121042,19330511,   42,    0
121042,19330512,   64,    0
121042,19330513,   94,    0
121042,19330514,   70,    0
121042,19330515,   18,    0
121042,19330516,    0,    0
121042,19330517,    0,    0
121042,19330518,    0,    0
121042,19330519,    0,    0
121042,19330520,    0,    0
121042,19330521,    0,    0
121042,19330522,    0,    0
121042,19330523,    0,    0
121042,19330524,    0,    0
121042,19330525,    7,    0
121042,19330526,    1,    0
121042,19330527,    0,    0
121042,19330528,   35,    0
121042,19330529,  225,    0
121042,19330530,   18,    0
121042,19330531,    0,    0
121042,19330601,    0,    0
121042,19330602,    0,    0
121042,19330603,    0,    0
121042,19330604,    0,    0
121042,19330605,    0,    0
121042,19330606,    0,    0
121042,19330607,    0,    0
121042,19330608,    0,    0
121042,19330609,   11,    0
121042,19330610,  154,    0
121042,19330611,  242,    0
121042,19330612,  300,    0
121042,19330613,    0,    0
121042,19330614,    0,    0
121042,19330615,    0,    0
121042,19330616,    0,    0
121042,19330617,  121,    0
121042,19330618,   15,    0
121042,19330619,   68,    0
121042,19330620,    0,    0
121042,19330621,    0,    0
121042,19330622,   19,    0
121042,19330623,   23,    0
121042,19330624,   35,    0
121042,19330625,   20,    0
121042,19330626,    0,    0
121042,19330627,   18,    0
121042,19330628,  195,    0
121042,19330629,  115,    0
121042,19330630,    0,    0
121042,19330701,    0,    0
121042,19330702,    0,    0
121042,19330703,    0,    0
121042,19330704,    0,    0
121042,19330705,    0,    0
121042,19330706,    0,    0
121042,19330707,    0,    0
121042,19330708,    0,    0
121042,19330709,   34,    0
121042,19330710,   26,    0
121042,19330711,   63,    0
121042,19330712,    0,    0
121042,19330713,   43,    0
121042,19330714,    5,    0
121042,19330715,    0,    0
121042,19330716,  130,    0
121042,19330717,    0,    0
121042,19330718,    0,    0
121042,19330719,    0,    0
121042,19330720,    0,    0
121042,19330721,   67,    0
121042,19330722,    0,    0
121042,19330723,    0,    0
121042,19330724,    0,    0
121042,19330725,    0,    0
121042,19330726,    0,    0
121042,19330727,    0,    0
121042,19330728,   40,    0
121042,19330729,   15,    0
121042,19330730,    5,    0
121042,19330731,   30,    0
121042,19330801,   42,    0
121042,19330802,    0,    0
121042,19330803,    0,    0
121042,19330804,    0,    0
121042,19330805,    0,    0
121042,19330806,    0,    0
121042,19330807,    0,    0
121042,19330808,    0,    0
121042,19330809,    0,    0
121042,19330810,    0,    0
121042,19330811,  120,    0
121042,19330812,    0,    0
121042,19330813,    0,    0
121042,19330814,    0,    0
